Sample	Sequence length	Sequences flagged as poor quality	per_sequence_quality_scores	Encoding	basic_statistics	per_base_sequence_quality	per_base_sequence_content	Filename	%GC	sequence_length_distribution	per_base_n_content	Total Bases	total_deduplicated_percentage	overrepresented_sequences	File type	Total Sequences	avg_sequence_length	adapter_content	per_sequence_gc_content	median_sequence_length	sequence_duplication_levels
fastqc | CL08 | SRR8668769	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668769.fastq.gz	53.0	warn	pass	7 Gbp	28.282918773072836	warn	Conventional base calls	94251532.0	74.49919337120164	pass	fail	75	fail
fastqc | CL10 | SRR8668771	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668771.fastq.gz	52.0	warn	pass	4.8 Gbp	36.18980969009314	warn	Conventional base calls	64436537.0	74.51151436024564	pass	fail	75	fail
fastqc | CL11 | SRR8668772	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668772.fastq.gz	50.0	warn	pass	5 Gbp	37.62565912735664	warn	Conventional base calls	68179906.0	74.46793996753237	pass	fail	75	fail
fastqc | CL12 | SRR8668773	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668773.fastq.gz	50.0	warn	pass	5.2 Gbp	37.76881225135168	warn	Conventional base calls	69980123.0	74.46369312611812	pass	fail	75	fail
fastqc | CL13 | SRR8668774	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668774.fastq.gz	49.0	warn	pass	9.8 Gbp	40.55445908767855	warn	Conventional base calls	133387934.0	73.84977352599223	pass	fail	75	fail
fastqc | HS01 subsample | SRR8668755_1M_subsample	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668755_1M_subsample.fastq.gz	50.0	warn	pass	74.4 Mbp	65.01812605728297	warn	Conventional base calls	1000000.0	74.479287	pass	fail	75	warn
fastqc | HS01 | SRR8668755	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668755.fastq.gz	50.0	warn	pass	6.6 Gbp	34.106002817547854	warn	Conventional base calls	89921353.0	74.47977032774406	pass	fail	75	fail
fastqc | HS02 | SRR8668756	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668756.fastq.gz	48.0	warn	pass	6.2 Gbp	40.94361703801776	warn	Conventional base calls	84483855.0	74.27136176491946	pass	warn	75	fail
fastqc | HS03 | SRR8668757	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668757.fastq.gz	47.0	warn	pass	7 Gbp	43.72828710379808	warn	Conventional base calls	95110159.0	74.47828267220119	pass	warn	75	fail
fastqc | HS04 | SRR8668758	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668758.fastq.gz	49.0	warn	pass	2.1 Gbp	51.26279173941845	warn	Conventional base calls	30161579.0	72.73567113313266	pass	warn	75	warn
fastqc | HS05 | SRR8668759	35-75	0.0	pass	Sanger / Illumina 1.9	pass	pass	fail	SRR8668759.fastq.gz	57.0	warn	pass	386.9 Mbp	49.17205703433164	fail	Conventional base calls	5323802.0	72.67510869111962	warn	fail	75	fail
