Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length
fastqc | CL08 | SRR8668769	30.0	94251532.0			74.49919337120164	71.71708122692716	53.0	75
fastqc | CL10 | SRR8668771	30.0	64436537.0			74.51151436024564	63.81019030990686	52.0	75
fastqc | CL11 | SRR8668772	30.0	68179906.0			74.46793996753237	62.37434087264336	50.0	75
fastqc | CL12 | SRR8668773	30.0	69980123.0			74.46369312611812	62.23118774864832	50.0	75
fastqc | CL13 | SRR8668774	30.0	133387934.0			73.84977352599223	59.44554091232145	49.0	75
fastqc | HS01 subsample | SRR8668755_1M_subsample	20.0	1000000.0			74.479287	34.98187394271703	50.0	75
fastqc | HS01 | SRR8668755	30.0	89921353.0			74.47977032774406	65.89399718245215	50.0	75
fastqc | HS02 | SRR8668756	20.0	84483855.0			74.27136176491946	59.05638296198224	48.0	75
fastqc | HS03 | SRR8668757	20.0	95110159.0			74.47828267220119	56.27171289620192	47.0	75
fastqc | HS04 | SRR8668758	10.0	30161579.0			72.73567113313266	48.73720826058155	49.0	75
fastqc | HS05 | SRR8668759	40.0	5323802.0			72.67510869111962	50.82794296566836	57.0	75
kallisto | HS01 subsample | SRR8668755_1M_subsample			53.458099999999995	534581.0				
kallisto | SRR8668755			53.41962436886376	48035649.0				
kallisto | SRR8668756			69.8556901789105	59016780.0				
kallisto | SRR8668757			49.53888995180841	47116517.0				
kallisto | SRR8668758			63.00258683406462	19002575.0				
kallisto | SRR8668759			49.15534048786938	2616933.0				
kallisto | SRR8668769			68.54808895838426	64607624.0				
kallisto | SRR8668771			52.80912132196055	34028369.0				
kallisto | SRR8668772			55.117199780240234	37578855.0				
kallisto | SRR8668773			66.29023930123701	46389991.0				
kallisto | SRR8668774			59.75096218223157	79700574.0				
