target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	16.5	1.76113
ENST00000632205.1	532	283	5563.4	333.625
ENST00000632891.1	380	131.001	247.787	32.1002
ENST00000633250.1	445	196	49.5188	4.28765
ENST00000631614.2	398	149	38.7378	4.41218
ENST00000633273.1	409	160	515.607	54.6895
ENST00000632088.2	392	143	3038.89	360.648
ENST00000632502.1	398	149	307.456	35.0188
ENST00000632887.1	442	193	1701.17	149.588
ENST00000632011.1	378	129.001	142.225	18.7105
ENST00000632229.1	378	129.001	1269.36	166.992
ENST00000632822.1	400	151	11271	1266.75
ENST00000631699.1	406	157	95.6735	10.3418
ENST00000633851.1	390	141	133.418	16.0583
ENST00000631531.1	382	133.001	351.238	44.8181
ENST00000633682.1	390	141	35.9638	4.32863
ENST00000632910.1	390	141	256.94	30.9255
ENST00000634204.1	324	75.5516	221.689	49.7973
ENST00000632835.1	382	133.001	164.721	21.0185
ENST00000632103.1	398	149	9.4433	1.07558
ENST00000631411.1	398	149	167.934	19.1275
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	7.37752	1.89114
ENST00000634015.1	473	224	330.623	25.049
ENST00000633833.1	402	153	540.867	59.9935
ENST00000632076.1	415	166	149.491	15.2831
ENST00000633490.1	413	164	209.988	21.7298
ENST00000632333.1	353	104.031	23.0532	3.76073
ENST00000632151.1	391	142	45.0337	5.38212
ENST00000632977.1	395	146	1193.83	138.77
ENST00000612474.2	402	153	2977.27	330.242
ENST00000633618.1	427	178	1085.58	103.502
ENST00000631807.1	420	171	2208.19	219.152
ENST00000632980.1	432	183	2237.09	207.461
ENST00000631826.1	411	162	3.51997	0.368748
ENST00000632719.1	425	176	13.9935	1.34933
ENST00000633426.1	571	322	538.102	28.3605
ENST00000631755.1	425	176	1.5063	0.145246
ENST00000631975.1	430	181	33.6672	3.1567
ENST00000633147.1	412	163	5497.26	572.353
ENST00000631869.1	353	104.031	1146.13	186.971
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	205.775	18.9793
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	750.528	67.0375
ENST00000620764.2	412	163	779.248	81.1322
ENST00000633988.1	432	183	2055.53	190.624
ENST00000632457.1	382	133.001	1014.86	129.496
ENST00000619078.2	495	246	2392.26	165.036
ENST00000632173.1	434	185	3.73635	0.342752
ENST00000633040.1	435	186	84.9832	7.75399
ENST00000632846.1	429	180	21.5243	2.02937
ENST00000633602.1	439	190	124.092	11.0839
ENST00000614315.1	303	56.5345	40.4425	12.1403
ENST00000632296.1	432	183	545.388	50.5777
ENST00000633446.1	411	162	976.031	102.248
ENST00000632614.1	414	165	719.275	73.9803
ENST00000560724.3	378	129.001	341.179	44.8842
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0.000780959	7.44584e-05
ENST00000631708.1	439	190	257.619	23.0107
ENST00000632960.1	457	208	421.513	34.3916
ENST00000633987.1	589	340	9113.74	454.907
ENST00000632005.1	434	185	28.8094	2.64282
ENST00000633570.1	349	100.049	607.664	103.076
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	53.0977	4.95118
ENST00000631379.1	417	168	387.623	39.1566
ENST00000632882.1	414	165	228.781	23.5311
ENST00000632211.1	439	190	287.294	25.6613
ENST00000632105.1	657	408	1357.35	56.4596
ENST00000632630.1	432	183	1634.61	151.589
ENST00000633299.1	417	168	1111.06	112.236
ENST00000633350.1	417	168	816.708	82.5016
ENST00000390282.2	419	170	197	19.6663
ENST00000390287.2	365	116.007	998	145.999
ENST00000390283.2	414	165	1329	136.693
ENST00000390284.2	362	113.011	67	10.0615
